Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Discount_Flag,Promo_Flag,Subscriber_Flag,Purchase_Freq_Annual,Est_Annual_Revenue,Promo_Dependency_Score,Satisfaction_Score,Loyalty_Index_A,Loyalty_Index_B,Value_Tier,Retention_Risk,Organic_Buyer,Segment
11,53,Male,Shoes,Footwear,34,Arkansas,L,Purple,Fall,4.1,Yes,Store Pickup,Yes,Yes,26,Bank Transfer,Bi-Weekly,1,1,1,26,884,2,0.6399999999999999,0.576670668267307,0.29071814671814666,High,0,0,Loyal Promo-Driven
12,30,Male,Shorts,Clothing,68,Hawaii,S,Olive,Winter,4.9,Yes,Store Pickup,Yes,Yes,10,Bank Transfer,Fortnightly,1,1,1,26,1768,2,0.9600000000000002,0.4134053621448579,0.470980694980695,Premium,0,0,Loyal Promo-Driven
13,61,Male,Coat,Outerwear,72,Delaware,M,Gold,Winter,4.5,Yes,Express,Yes,Yes,37,Venmo,Fortnightly,1,1,1,26,1872,2,0.8,0.6889155662264906,0.423011583011583,Premium,0,0,Loyal Promo-Driven
14,65,Male,Dress,Clothing,51,New Hampshire,M,Violet,Spring,4.7,Yes,Express,Yes,Yes,31,PayPal,Weekly,1,1,1,52,2652,2,0.8800000000000001,0.8061224489795918,0.5112432432432432,Premium,0,0,Loyal Promo-Driven
15,64,Male,Coat,Outerwear,53,New York,L,Teal,Winter,4.7,Yes,Free Shipping,Yes,Yes,34,Debit Card,Weekly,1,1,1,52,2756,2,0.8800000000000001,0.836734693877551,0.5192741312741312,Premium,0,0,Loyal Promo-Driven
16,64,Male,Skirt,Clothing,81,Rhode Island,M,Teal,Winter,2.8,Yes,Store Pickup,Yes,Yes,8,PayPal,Monthly,1,1,1,12,972,2,0.11999999999999993,0.29691876750700275,0.1155135135135135,High,0,0,Casual Promo-Driven
17,25,Male,Sunglasses,Accessories,36,Alabama,S,Gray,Spring,4.1,Yes,Next Day Air,Yes,Yes,44,Debit Card,Bi-Weekly,1,1,1,26,936,2,0.6399999999999999,0.760344137655062,0.2947335907335907,High,0,0,Loyal Promo-Driven
18,53,Male,Dress,Clothing,38,Mississippi,XL,Lavender,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,36,Venmo,Quarterly,1,1,1,4,152,2,0.8800000000000001,0.5277310924369748,0.31819305019305016,Low,0,0,Loyal Promo-Driven
19,52,Male,Sweater,Clothing,48,Montana,S,Black,Summer,4.6,Yes,Free Shipping,Yes,Yes,17,Cash,Weekly,1,1,1,52,2496,2,0.8399999999999999,0.6632653061224489,0.4851969111969111,Premium,0,0,Loyal Promo-Driven
20,66,Male,Pants,Clothing,90,Rhode Island,M,Green,Summer,3.3,Yes,Standard,Yes,Yes,46,Debit Card,Bi-Weekly,1,1,1,26,2340,2,0.31999999999999995,0.7807523009203682,0.2911505791505791,Premium,0,0,Loyal Promo-Driven
21,21,Male,Pants,Clothing,51,Louisiana,M,Black,Winter,2.8,Yes,Express,Yes,Yes,50,Cash,Every 3 Months,1,1,1,4,204,2,0.11999999999999993,0.6705882352941177,0.056208494208494185,Medium,1,0,Loyal Promo-Driven
22,31,Male,Pants,Clothing,62,North Carolina,M,Charcoal,Winter,4.1,Yes,Store Pickup,Yes,Yes,22,Debit Card,Quarterly,1,1,1,4,248,2,0.6399999999999999,0.3848739495798319,0.24160617760617756,Medium,0,0,Casual Promo-Driven
23,56,Male,Pants,Clothing,37,California,M,Peach,Summer,3.2,Yes,Store Pickup,Yes,Yes,32,Debit Card,Annually,1,1,1,1,37,2,0.2800000000000001,0.46632653061224494,0.09931274131274133,Low,1,0,Loyal Promo-Driven
24,31,Male,Pants,Clothing,88,Oklahoma,XL,White,Winter,4.4,Yes,Express,Yes,Yes,40,Credit Card,Weekly,1,1,1,52,4576,2,0.7600000000000001,0.8979591836734694,0.6178146718146719,Premium,0,0,Loyal Promo-Driven
25,18,Male,Jacket,Outerwear,22,Florida,M,Green,Fall,2.9,Yes,Store Pickup,Yes,Yes,16,Debit Card,Weekly,1,1,1,52,1144,2,0.15999999999999998,0.6530612244897959,0.14279536679536678,High,0,0,Loyal Promo-Driven
26,18,Male,Hoodie,Clothing,25,Texas,M,Silver,Summer,3.6,Yes,Express,Yes,Yes,14,PayPal,Annually,1,1,1,1,25,2,0.44000000000000006,0.2826530612244898,0.15438610038610037,Low,1,0,Casual Promo-Driven
27,38,Male,Jewelry,Accessories,20,Nevada,M,Red,Spring,3.6,Yes,Next Day Air,Yes,Yes,13,Credit Card,Annually,1,1,1,1,20,2,0.44000000000000006,0.2724489795918367,0.154,Low,1,0,Casual Promo-Driven
28,56,Male,Shorts,Clothing,56,Kentucky,L,Cyan,Summer,5.0,Yes,Next Day Air,Yes,Yes,7,Bank Transfer,Every 3 Months,1,1,1,4,224,2,1.0,0.231812725090036,0.3657528957528957,Medium,0,0,Casual Promo-Driven
29,54,Male,Handbag,Accessories,94,North Carolina,M,Gray,Fall,4.4,Yes,Free Shipping,Yes,Yes,41,PayPal,Every 3 Months,1,1,1,4,376,2,0.7600000000000001,0.57875150060024,0.2934903474903475,Medium,0,0,Loyal Promo-Driven
30,31,Male,Dress,Clothing,48,Wyoming,S,Black,Fall,4.1,Yes,Store Pickup,Yes,Yes,14,Credit Card,Weekly,1,1,1,52,2496,2,0.6399999999999999,0.6326530612244898,0.41519691119691116,Premium,0,0,Loyal Promo-Driven
31,57,Male,Jewelry,Accessories,31,North Carolina,L,Black,Winter,4.7,Yes,Standard,Yes,Yes,16,Credit Card,Monthly,1,1,1,12,372,2,0.8800000000000001,0.3785514205682273,0.3351814671814672,Medium,0,0,Casual Promo-Driven
32,33,Male,Dress,Clothing,79,West Virginia,L,Brown,Winter,4.7,Yes,Store Pickup,Yes,Yes,45,Venmo,Monthly,1,1,1,12,948,2,0.8800000000000001,0.6744697879151661,0.37966023166023166,High,0,0,Loyal Promo-Driven
33,36,Male,Jacket,Outerwear,67,Kansas,M,Silver,Summer,4.9,Yes,Free Shipping,Yes,Yes,37,Venmo,Annually,1,1,1,1,67,2,0.9600000000000002,0.5173469387755102,0.33962934362934366,Low,0,0,Loyal Promo-Driven
34,54,Male,Pants,Clothing,38,Colorado,L,Green,Summer,3.3,Yes,Store Pickup,Yes,Yes,45,Cash,Quarterly,1,1,1,4,152,2,0.31999999999999995,0.6195678271308523,0.12219305019305017,Low,1,0,Loyal Promo-Driven
35,36,Male,T-shirt,Clothing,91,North Dakota,L,Violet,Spring,4.6,Yes,2-Day Shipping,Yes,Yes,38,PayPal,Quarterly,1,1,1,4,364,2,0.8399999999999999,0.5481392557022808,0.3205637065637065,Medium,0,0,Loyal Promo-Driven
36,54,Male,Blouse,Clothing,33,Massachusetts,M,Cyan,Summer,4.0,Yes,2-Day Shipping,Yes,Yes,48,Credit Card,Bi-Weekly,1,1,1,26,858,2,0.6,0.8011604641856742,0.2747104247104247,High,0,0,Loyal Promo-Driven
37,35,Male,T-shirt,Clothing,69,Illinois,M,Maroon,Winter,4.6,Yes,Free Shipping,Yes,Yes,44,PayPal,Fortnightly,1,1,1,26,1794,2,0.8399999999999999,0.760344137655062,0.43098841698841694,Premium,0,0,Loyal Promo-Driven
38,35,Male,Jeans,Clothing,45,Indiana,S,Cyan,Summer,2.8,Yes,Store Pickup,Yes,Yes,10,PayPal,Weekly,1,1,1,52,2340,2,0.11999999999999993,0.5918367346938775,0.22115057915057915,Premium,0,0,Loyal Promo-Driven
39,29,Male,Dress,Clothing,37,Florida,M,Red,Winter,3.8,Yes,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months,1,1,1,4,148,2,0.5199999999999999,0.6093637454981993,0.19188416988416984,Low,0,0,Loyal Promo-Driven
40,70,Male,Pants,Clothing,60,Arizona,S,Turquoise,Summer,4.2,Yes,Express,Yes,Yes,18,Credit Card,Monthly,1,1,1,12,720,2,0.68,0.39895958383353336,0.29205405405405405,High,0,0,Loyal Promo-Driven
41,69,Male,Handbag,Accessories,76,Louisiana,L,Beige,Winter,4.6,Yes,Next Day Air,Yes,Yes,31,Debit Card,Quarterly,1,1,1,4,304,2,0.8399999999999999,0.47671068427370944,0.3159305019305019,Medium,0,0,Loyal Promo-Driven
42,67,Male,Scarf,Accessories,39,Alaska,M,Orange,Spring,4.5,Yes,Standard,Yes,Yes,40,Venmo,Annually,1,1,1,1,39,2,0.8,0.5479591836734694,0.2814671814671814,Low,0,0,Loyal Promo-Driven
43,20,Male,Coat,Outerwear,100,Tennessee,M,Beige,Spring,4.1,Yes,Free Shipping,Yes,Yes,15,PayPal,Annually,1,1,1,1,100,2,0.6399999999999999,0.2928571428571428,0.23017760617760613,Low,0,0,Casual Promo-Driven
44,25,Male,Scarf,Accessories,69,Ohio,L,Lavender,Fall,3.7,Yes,Store Pickup,Yes,Yes,19,PayPal,Fortnightly,1,1,1,26,1794,2,0.4800000000000001,0.5052420968387354,0.304988416988417,Premium,0,0,Loyal Promo-Driven
45,39,Male,Hat,Accessories,53,Kentucky,S,Silver,Summer,4.6,Yes,Free Shipping,Yes,Yes,45,PayPal,Weekly,1,1,1,52,2756,2,0.8399999999999999,0.9489795918367346,0.5052741312741312,Premium,0,0,Loyal Promo-Driven
46,50,Male,Socks,Clothing,21,Tennessee,XL,Indigo,Fall,2.9,Yes,2-Day Shipping,Yes,Yes,25,PayPal,Annually,1,1,1,1,21,2,0.15999999999999998,0.39489795918367343,0.05607722007722007,Low,1,0,Casual Promo-Driven
47,57,Male,Shirt,Clothing,43,California,L,White,Summer,2.9,Yes,Store Pickup,Yes,Yes,45,Cash,Quarterly,1,1,1,4,172,2,0.15999999999999998,0.6195678271308523,0.06773745173745173,Low,1,0,Loyal Promo-Driven
48,55,Male,Jewelry,Accessories,54,Montana,M,Charcoal,Winter,4.5,Yes,Free Shipping,Yes,Yes,36,Cash,Weekly,1,1,1,52,2808,2,0.8,0.8571428571428571,0.4952895752895753,Premium,0,0,Loyal Promo-Driven
49,42,Male,Shirt,Clothing,55,Nevada,M,Orange,Summer,2.7,Yes,Store Pickup,Yes,Yes,38,Cash,Monthly,1,1,1,12,660,2,0.08000000000000007,0.6030412164865946,0.07742084942084945,High,0,0,Loyal Promo-Driven
50,68,Male,Hoodie,Clothing,30,New Jersey,S,Indigo,Spring,4.6,Yes,Next Day Air,Yes,Yes,34,Debit Card,Bi-Weekly,1,1,1,26,780,2,0.8399999999999999,0.6583033213285314,0.35268725868725864,High,0,0,Loyal Promo-Driven
51,49,Male,Blouse,Clothing,28,Maryland,M,Red,Spring,3.8,Yes,Store Pickup,Yes,Yes,39,Debit Card,Bi-Weekly,1,1,1,26,728,2,0.5199999999999999,0.7093237294917967,0.23667181467181464,High,0,0,Loyal Promo-Driven
52,59,Male,Skirt,Clothing,59,Vermont,XL,Gray,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,7,Credit Card,Quarterly,1,1,1,4,236,2,0.8800000000000001,0.231812725090036,0.3246795366795367,Medium,0,0,Casual Promo-Driven
53,42,Male,T-shirt,Clothing,20,Alaska,M,Green,Summer,2.6,Yes,Free Shipping,Yes,Yes,26,Credit Card,Weekly,1,1,1,52,1040,2,0.040000000000000036,0.7551020408163266,0.09276447876447878,High,0,0,Loyal Promo-Driven
54,29,Male,Skirt,Clothing,24,Mississippi,S,Peach,Winter,3.9,Yes,Next Day Air,Yes,Yes,35,Credit Card,Weekly,1,1,1,52,1248,2,0.5599999999999999,0.8469387755102041,0.2908262548262548,High,0,0,Loyal Promo-Driven
55,47,Male,Coat,Outerwear,94,New Mexico,M,Brown,Summer,4.2,Yes,Next Day Air,Yes,Yes,35,Debit Card,Bi-Weekly,1,1,1,26,2444,2,0.68,0.6685074029611845,0.4251814671814672,Premium,0,0,Loyal Promo-Driven
56,40,Male,Jacket,Outerwear,28,South Carolina,M,Lavender,Winter,3.0,Yes,2-Day Shipping,Yes,Yes,49,Credit Card,Annually,1,1,1,1,28,2,0.2,0.639795918367347,0.07061776061776061,Low,1,0,Loyal Promo-Driven
57,41,Male,Backpack,Accessories,73,Mississippi,XL,Brown,Summer,4.7,Yes,Store Pickup,Yes,Yes,46,Credit Card,Weekly,1,1,1,52,3796,2,0.8800000000000001,0.9591836734693878,0.5995830115830116,Premium,0,0,Loyal Promo-Driven
58,21,Male,Coat,Outerwear,64,West Virginia,M,White,Summer,4.4,Yes,Store Pickup,Yes,Yes,17,Debit Card,Fortnightly,1,1,1,26,1664,2,0.7600000000000001,0.4848339335734293,0.39294980694980697,Premium,0,0,Loyal Promo-Driven
59,69,Male,Hoodie,Clothing,54,Missouri,M,Charcoal,Summer,4.2,Yes,Free Shipping,Yes,Yes,29,Venmo,Monthly,1,1,1,12,648,2,0.68,0.511204481792717,0.2864942084942085,High,0,0,Loyal Promo-Driven
60,63,Male,Belt,Accessories,79,Louisiana,L,Yellow,Spring,4.6,Yes,Standard,Yes,Yes,4,Debit Card,Weekly,1,1,1,52,4108,2,0.8399999999999999,0.5306122448979591,0.6096756756756756,Premium,0,0,Loyal Promo-Driven
61,50,Male,Sweater,Clothing,37,Idaho,L,Brown,Summer,4.0,Yes,Express,Yes,Yes,17,Cash,Weekly,1,1,1,52,1924,2,0.6,0.6632653061224489,0.35702702702702704,Premium,0,0,Loyal Promo-Driven
62,55,Male,Scarf,Accessories,68,Texas,M,Orange,Winter,4.7,Yes,Store Pickup,Yes,Yes,21,Credit Card,Every 3 Months,1,1,1,4,272,2,0.8800000000000001,0.3746698679471789,0.3274594594594595,Medium,0,0,Casual Promo-Driven
63,30,Male,Sneakers,Footwear,21,Mississippi,S,Magenta,Spring,3.8,Yes,Free Shipping,Yes,Yes,31,Credit Card,Fortnightly,1,1,1,26,546,2,0.5199999999999999,0.6276910764305722,0.2226177606177606,Medium,0,0,Loyal Promo-Driven
64,33,Male,Sunglasses,Accessories,79,Arizona,L,Lavender,Winter,2.7,Yes,2-Day Shipping,Yes,Yes,43,Credit Card,Weekly,1,1,1,52,4108,2,0.08000000000000007,0.9285714285714285,0.34367567567567575,Premium,0,0,Loyal Promo-Driven
65,65,Male,Boots,Footwear,83,Alabama,S,Green,Fall,4.8,Yes,Standard,Yes,Yes,18,Debit Card,Fortnightly,1,1,1,26,2158,2,0.9199999999999999,0.49503801520608237,0.48709652509652507,Premium,0,0,Loyal Promo-Driven
66,65,Male,Backpack,Accessories,36,New Jersey,M,Purple,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months,1,1,1,4,144,2,0.9199999999999999,0.6093637454981993,0.33157528957528953,Low,0,0,Loyal Promo-Driven
67,31,Male,Blouse,Clothing,94,Pennsylvania,S,Magenta,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,3,Venmo,Every 3 Months,1,1,1,4,376,2,0.8800000000000001,0.19099639855942377,0.3354903474903475,Medium,0,0,Casual Promo-Driven
68,45,Male,Coat,Outerwear,33,Connecticut,L,Gray,Winter,4.4,Yes,Store Pickup,Yes,Yes,49,Debit Card,Monthly,1,1,1,12,396,2,0.7600000000000001,0.7152861144457783,0.295034749034749,Medium,0,0,Loyal Promo-Driven
69,57,Male,Handbag,Accessories,46,Utah,L,Silver,Summer,3.9,Yes,Next Day Air,Yes,Yes,21,Cash,Every 3 Months,1,1,1,4,184,2,0.5599999999999999,0.3746698679471789,0.20866409266409264,Low,0,0,Casual Promo-Driven
70,48,Male,Belt,Accessories,70,Tennessee,S,Cyan,Summer,4.4,Yes,Express,Yes,Yes,5,Cash,Weekly,1,1,1,52,3640,2,0.7600000000000001,0.5408163265306122,0.5455366795366796,Premium,0,0,Loyal Promo-Driven
71,22,Male,Belt,Accessories,29,Alabama,M,Magenta,Fall,4.2,Yes,Express,Yes,Yes,32,Debit Card,Every 3 Months,1,1,1,4,116,2,0.68,0.4869147659063625,0.2454131274131274,Low,0,0,Loyal Promo-Driven
72,36,Male,Dress,Clothing,48,Virginia,L,Gold,Summer,2.9,Yes,Express,Yes,Yes,34,Bank Transfer,Annually,1,1,1,1,48,2,0.15999999999999998,0.486734693877551,0.05816216216216215,Low,1,0,Loyal Promo-Driven
73,18,Male,Dress,Clothing,26,Georgia,M,Olive,Winter,2.9,Yes,Store Pickup,Yes,Yes,21,Bank Transfer,Every 3 Months,1,1,1,4,104,2,0.15999999999999998,0.3746698679471789,0.06248648648648648,Low,1,0,Casual Promo-Driven
74,48,Male,Pants,Clothing,85,Hawaii,M,Teal,Spring,2.7,Yes,Free Shipping,Yes,Yes,43,Bank Transfer,Bi-Weekly,1,1,1,26,2210,2,0.08000000000000007,0.750140056022409,0.19711196911196915,Premium,0,0,Loyal Promo-Driven
75,49,Male,Gloves,Accessories,58,Indiana,L,Violet,Spring,4.5,Yes,Express,Yes,Yes,3,Cash,Monthly,1,1,1,12,696,2,0.8,0.2458983593437375,0.33220077220077215,High,0,0,Casual Promo-Driven
76,64,Male,Scarf,Accessories,85,Utah,M,Blue,Summer,2.7,Yes,Free Shipping,Yes,Yes,21,Credit Card,Annually,1,1,1,1,85,2,0.08000000000000007,0.35408163265306125,0.03301930501930504,Low,1,0,Casual Promo-Driven
77,50,Male,Hat,Accessories,43,Delaware,S,Teal,Summer,4.2,Yes,Free Shipping,Yes,Yes,32,Venmo,Monthly,1,1,1,12,516,2,0.68,0.5418167266906763,0.2763011583011583,Medium,0,0,Loyal Promo-Driven
78,22,Male,Dress,Clothing,53,Delaware,L,Gold,Summer,3.3,Yes,Next Day Air,Yes,Yes,36,Debit Card,Fortnightly,1,1,1,26,1378,2,0.31999999999999995,0.6787114845938376,0.21686486486486484,High,0,0,Loyal Promo-Driven
79,50,Male,Skirt,Clothing,91,Nebraska,M,Maroon,Spring,4.7,Yes,Free Shipping,Yes,Yes,50,Venmo,Fortnightly,1,1,1,26,2366,2,0.8800000000000001,0.8215686274509804,0.48915830115830117,Premium,0,0,Loyal Promo-Driven
80,38,Male,Jacket,Outerwear,96,Iowa,M,Olive,Winter,2.6,Yes,2-Day Shipping,Yes,Yes,43,Bank Transfer,Every 3 Months,1,1,1,4,384,2,0.040000000000000036,0.5991596638655462,0.042108108108108125,Medium,1,0,Loyal Promo-Driven
81,19,Male,Sandals,Footwear,72,New York,XL,Blue,Summer,3.8,Yes,Store Pickup,Yes,Yes,24,Credit Card,Every 3 Months,1,1,1,4,288,2,0.5199999999999999,0.40528211284513804,0.20269498069498065,Medium,0,0,Loyal Promo-Driven
82,67,Male,Shoes,Footwear,96,Virginia,L,Maroon,Summer,2.6,Yes,Express,Yes,Yes,36,Credit Card,Every 3 Months,1,1,1,4,384,2,0.040000000000000036,0.5277310924369748,0.042108108108108125,Medium,1,0,Loyal Promo-Driven
83,19,Male,Pants,Clothing,28,Georgia,S,Olive,Spring,4.0,Yes,2-Day Shipping,Yes,Yes,21,Credit Card,Every 3 Months,1,1,1,4,112,2,0.6,0.3746698679471789,0.21710424710424708,Low,0,0,Casual Promo-Driven
84,36,Male,Dress,Clothing,40,Texas,M,Turquoise,Summer,4.1,Yes,Standard,Yes,Yes,34,Bank Transfer,Weekly,1,1,1,52,2080,2,0.6399999999999999,0.836734693877551,0.38307335907335904,Premium,0,0,Loyal Promo-Driven
85,52,Male,Coat,Outerwear,32,Arizona,S,Peach,Spring,4.4,Yes,Standard,Yes,Yes,42,Bank Transfer,Every 3 Months,1,1,1,4,128,2,0.7600000000000001,0.5889555822328931,0.27433976833976836,Low,0,0,Loyal Promo-Driven
86,53,Male,Sunglasses,Accessories,95,New Mexico,M,Charcoal,Winter,4.5,Yes,Next Day Air,Yes,Yes,2,Debit Card,Bi-Weekly,1,1,1,26,2470,2,0.8,0.33177270908363343,0.46918918918918917,Premium,0,0,Casual Promo-Driven
87,24,Male,Hoodie,Clothing,41,Nevada,L,Pink,Spring,3.7,Yes,2-Day Shipping,Yes,Yes,47,Cash,Bi-Weekly,1,1,1,26,1066,2,0.4800000000000001,0.7909563825530213,0.2487722007722008,High,0,0,Loyal Promo-Driven
88,52,Male,Shoes,Footwear,53,Ohio,M,Green,Fall,3.7,Yes,2-Day Shipping,Yes,Yes,44,Debit Card,Fortnightly,1,1,1,26,1378,2,0.4800000000000001,0.760344137655062,0.2728648648648649,High,0,0,Loyal Promo-Driven
89,33,Male,T-shirt,Clothing,47,Wyoming,M,Orange,Fall,3.5,Yes,Free Shipping,Yes,Yes,35,Credit Card,Monthly,1,1,1,12,564,2,0.4,0.5724289715886355,0.182007722007722,Medium,0,0,Loyal Promo-Driven
90,47,Male,Jacket,Outerwear,83,California,XL,Pink,Fall,3.6,Yes,Next Day Air,Yes,Yes,15,Cash,Quarterly,1,1,1,4,332,2,0.44000000000000006,0.3134453781512605,0.17809266409266408,Medium,1,0,Casual Promo-Driven
91,25,Male,Hat,Accessories,48,South Carolina,L,Violet,Summer,2.9,Yes,Express,Yes,Yes,29,Credit Card,Monthly,1,1,1,12,576,2,0.15999999999999998,0.511204481792717,0.09893436293436292,High,0,0,Loyal Promo-Driven
92,44,Male,Scarf,Accessories,99,South Carolina,S,Green,Winter,4.6,Yes,Standard,Yes,Yes,18,Credit Card,Every 3 Months,1,1,1,4,396,2,0.8399999999999999,0.3440576230492197,0.32303474903474894,Medium,0,0,Casual Promo-Driven
93,61,Male,Jacket,Outerwear,87,Texas,M,Olive,Winter,4.4,Yes,2-Day Shipping,Yes,Yes,13,Venmo,Every 3 Months,1,1,1,4,348,2,0.7600000000000001,0.29303721488595436,0.29132818532818533,Medium,0,0,Casual Promo-Driven
94,37,Male,Sweater,Clothing,62,Florida,M,Purple,Fall,4.5,Yes,Standard,Yes,Yes,46,Credit Card,Weekly,1,1,1,52,3224,2,0.8,0.9591836734693878,0.5274131274131274,Premium,0,0,Loyal Promo-Driven
95,58,Male,Skirt,Clothing,76,Nevada,S,Silver,Spring,4.6,Yes,Free Shipping,Yes,Yes,28,Credit Card,Weekly,1,1,1,52,3952,2,0.8399999999999999,0.7755102040816326,0.5976293436293436,Premium,0,0,Loyal Promo-Driven
96,37,Male,Sneakers,Footwear,100,Missouri,L,Pink,Fall,3.8,Yes,Free Shipping,Yes,Yes,48,PayPal,Monthly,1,1,1,12,1200,2,0.5199999999999999,0.7050820328131252,0.2731196911196911,High,0,0,Loyal Promo-Driven
97,32,Male,Gloves,Accessories,73,Delaware,S,Gold,Spring,3.8,Yes,Express,Yes,Yes,43,Venmo,Every 3 Months,1,1,1,4,292,2,0.5199999999999999,0.5991596638655462,0.20300386100386097,Medium,0,0,Loyal Promo-Driven
98,21,Male,Shoes,Footwear,92,Virginia,M,Teal,Winter,4.8,Yes,Store Pickup,Yes,Yes,37,Cash,Annually,1,1,1,1,92,2,0.9199999999999999,0.5173469387755102,0.3275598455598455,Low,0,0,Loyal Promo-Driven
99,20,Male,Jeans,Clothing,67,New York,XL,Teal,Spring,2.6,Yes,Next Day Air,Yes,Yes,20,Bank Transfer,Annually,1,1,1,1,67,2,0.040000000000000036,0.3438775510204082,0.01762934362934364,Low,1,0,Casual Promo-Driven
100,26,Male,Hoodie,Clothing,40,Missouri,XL,Indigo,Summer,3.7,Yes,Express,Yes,Yes,33,Debit Card,Quarterly,1,1,1,4,160,2,0.4800000000000001,0.4971188475390156,0.17881081081081082,Low,1,0,Loyal Promo-Driven
101,62,Male,Sunglasses,Accessories,98,South Dakota,M,Maroon,Fall,2.7,Yes,Express,Yes,Yes,31,Cash,Fortnightly,1,1,1,26,2548,2,0.08000000000000007,0.6276910764305722,0.22321235521235525,Premium,0,0,Loyal Promo-Driven
102,27,Male,Coat,Outerwear,85,North Dakota,XL,White,Spring,4.6,Yes,Express,Yes,Yes,50,Credit Card,Bi-Weekly,1,1,1,26,2210,2,0.8399999999999999,0.8215686274509804,0.46311196911196906,Premium,0,0,Loyal Promo-Driven
103,51,Male,Socks,Clothing,67,Oklahoma,L,Violet,Winter,4.8,Yes,Next Day Air,Yes,Yes,35,Credit Card,Quarterly,1,1,1,4,268,2,0.9199999999999999,0.5175270108043217,0.3411505791505791,Medium,0,0,Loyal Promo-Driven
104,54,Male,Boots,Footwear,89,West Virginia,L,Red,Winter,4.0,Yes,Next Day Air,Yes,Yes,22,Venmo,Bi-Weekly,1,1,1,26,2314,2,0.6,0.5358543417366947,0.3871428571428571,Premium,0,0,Loyal Promo-Driven
105,55,Male,Sunglasses,Accessories,24,New Hampshire,L,Pink,Spring,4.4,Yes,2-Day Shipping,Yes,Yes,1,PayPal,Monthly,1,1,1,12,288,2,0.7600000000000001,0.22549019607843135,0.28669498069498073,Medium,0,0,Casual Promo-Driven
